<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
NASDAQ 100;D;20190317;000000;7306.99;7306.99;7306.99;7306.99;0;0
NASDAQ 100;D;20190318;000000;7311.63;7348.69;7293.85;7326.28;0;0
NASDAQ 100;D;20190319;000000;7357.58;7390.28;7321.93;7347.82;0;0
NASDAQ 100;D;20190320;000000;7349.28;7422.75;7318.42;7380.78;0;0
NASDAQ 100;D;20190321;000000;7380.75;7505.4;7356.94;7493.27;0;0
NASDAQ 100;D;20190322;000000;7458.22;7482.14;7324.5;7325.57;0;0
NASDAQ 100;D;20190323;000000;7326.06;7326.06;7326.06;7326.06;0;0
NASDAQ 100;D;20190324;000000;7326.06;7326.06;7326.06;7326.06;0;0
NASDAQ 100;D;20190325;000000;7303.29;7342.51;7265.28;7316.96;0;0
NASDAQ 100;D;20190326;000000;7377.77;7417.26;7314.38;7351.09;0;0
NASDAQ 100;D;20190327;000000;7351.15;7376.91;7252.17;7308.27;0;0
NASDAQ 100;D;20190328;000000;7308.19;7346.04;7277.69;7320.47;0;0
NASDAQ 100;D;20190329;000000;7377.77;7381.62;7333.17;7378.77;0;0
NASDAQ 100;D;20190330;000000;7378.77;7378.77;7378.77;7378.77;0;0
NASDAQ 100;D;20190331;000000;7378.77;7378.77;7378.77;7378.77;0;0
NASDAQ 100;D;20190401;000000;7451.47;7481.84;7422.44;7478.01;0;0
NASDAQ 100;D;20190402;000000;7478.42;7506.83;7461.51;7500.28;0;0
NASDAQ 100;D;20190403;000000;7499.64;7589.69;7499.64;7544.97;0;0
NASDAQ 100;D;20190404;000000;7542.08;7571.13;7496.3;7540.57;0;0
NASDAQ 100;D;20190405;000000;7564.27;7581.9;7555.12;7578.84;0;0
NASDAQ 100;D;20190406;000000;7578.84;7578.84;7578.84;7578.84;0;0
NASDAQ 100;D;20190407;000000;7578.84;7578.84;7578.84;7578.84;0;0
NASDAQ 100;D;20190408;000000;7566.46;7602.08;7536.71;7598.81;0;0
NASDAQ 100;D;20190409;000000;7599.74;7599.74;7555.62;7570.77;0;0
NASDAQ 100;D;20190410;000000;7568.49;7613.41;7568.49;7612.18;0;0
NASDAQ 100;D;20190411;000000;7611.49;7621.4;7580.71;7594.45;0;0
NASDAQ 100;D;20190412;000000;7594.89;7630.52;7594.89;7626.4;0;0
NASDAQ 100;D;20190413;000000;7628.15;7628.15;7628.15;7628.15;0;0
NASDAQ 100;D;20190414;000000;7628.15;7628.15;7628.15;7628.15;0;0
NASDAQ 100;D;20190415;000000;7630.6;7636.8;7578.54;7628.72;0;0
NASDAQ 100;D;20190416;000000;7629.12;7670.4;7629.12;7654.73;0;0
NASDAQ 100;D;20190417;000000;7704.51;7714.89;7659.85;7681.73;0;0
NASDAQ 100;D;20190418;000000;7680.72;7694.18;7647.4;7689.89;0;0
NASDAQ 100;D;20190419;000000;7689.72;7689.72;7689.72;7689.72;0;0
NASDAQ 100;D;20190420;000000;7689.72;7689.72;7689.72;7689.72;0;0
NASDAQ 100;D;20190421;000000;7689.72;7689.72;7689.72;7689.72;0;0
NASDAQ 100;D;20190422;000000;7658.37;7715.24;7653.89;7712.96;0;0
NASDAQ 100;D;20190423;000000;7713.49;7819.34;7713.49;7810.36;0;0
NASDAQ 100;D;20190424;000000;7810.71;7827.05;7783.79;7784.51;0;0
NASDAQ 100;D;20190425;000000;7784.41;7851.32;7778.27;7816.92;0;0
NASDAQ 100;D;20190426;000000;7793.73;7825.69;7742.6;7825.69;0;0
NASDAQ 100;D;20190427;000000;7826.68;7826.68;7826.68;7826.68;0;0
NASDAQ 100;D;20190428;000000;7826.68;7826.68;7826.68;7826.68;0;0
NASDAQ 100;D;20190429;000000;7825.64;7851.85;7812.97;7839.84;0;0
NASDAQ 100;D;20190430;000000;7839.04;7839.04;7726.07;7784.92;0;0
NASDAQ 100;D;20190501;000000;7781.46;7851.03;7750.35;7750.35;0;0
NASDAQ 100;D;20190502;000000;7751.85;7791.51;7672.54;7724.22;0;0
NASDAQ 100;D;20190503;000000;7724.06;7847.52;7724.06;7845.35;0;0
NASDAQ 100;D;20190504;000000;7845.73;7845.73;7845.73;7845.73;0;0
NASDAQ 100;D;20190505;000000;7845.73;7845.73;7845.73;7845.73;0;0
NASDAQ 100;D;20190506;000000;7665.01;7804.54;7665.01;7795.01;0;0
NASDAQ 100;D;20190507;000000;7794.09;7794.09;7572.61;7638.73;0;0
NASDAQ 100;D;20190508;000000;7640.15;7678.82;7593.88;7616.12;0;0
NASDAQ 100;D;20190509;000000;7617.55;7617.55;7472.71;7583.71;0;0
NASDAQ 100;D;20190510;000000;7582.75;7623.01;7426.75;7586;0;0
NASDAQ 100;D;20190511;000000;7586.53;7586.53;7586.53;7586.53;0;0
NASDAQ 100;D;20190512;000000;7586.53;7586.53;7586.53;7586.53;0;0
NASDAQ 100;D;20190513;000000;7389.3;7433.54;7303.64;7328.16;0;0
NASDAQ 100;D;20190514;000000;7324.13;7449.03;7324.13;7401.88;0;0
NASDAQ 100;D;20190515;000000;7354.82;7524.22;7353.9;7502.9;0;0
NASDAQ 100;D;20190516;000000;7503.25;7627.03;7502.76;7579.33;0;0
NASDAQ 100;D;20190517;000000;7580.14;7605.67;7497.01;7502.46;0;0
NASDAQ 100;D;20190518;000000;7503.68;7503.68;7503.68;7503.68;0;0
NASDAQ 100;D;20190519;000000;7503.68;7503.68;7503.68;7503.68;0;0
NASDAQ 100;D;20190520;000000;7390.43;7424.54;7351.92;7376.65;0;0
NASDAQ 100;D;20190521;000000;7376.7;7472.71;7376.7;7451.02;0;0
NASDAQ 100;D;20190522;000000;7413.91;7455.38;7410.71;7420.66;0;0
NASDAQ 100;D;20190523;000000;7332.38;7337.45;7261.46;7308.42;0;0
NASDAQ 100;D;20190524;000000;7307.93;7371.3;7294.36;7300.29;0;0
NASDAQ 100;D;20190525;000000;7300.96;7300.96;7300.96;7300.96;0;0
NASDAQ 100;D;20190526;000000;7300.96;7300.96;7300.96;7300.96;0;0
NASDAQ 100;D;20190527;000000;7300.96;7300.96;7300.96;7300.96;0;0
NASDAQ 100;D;20190528;000000;7321.27;7362.29;7274.7;7281.59;0;0
NASDAQ 100;D;20190529;000000;7278.38;7278.38;7176.67;7218.27;0;0
NASDAQ 100;D;20190530;000000;7216.86;7262.77;7204.42;7245.01;0;0
NASDAQ 100;D;20190531;000000;7245.4;7245.4;7126.34;7127.08;0;0
NASDAQ 100;D;20190601;000000;7127.96;7127.96;7127.96;7127.96;0;0
NASDAQ 100;D;20190602;000000;7127.96;7127.96;7127.96;7127.96;0;0
NASDAQ 100;D;20190603;000000;7112.02;7126.43;6938.16;6978.02;0;0
NASDAQ 100;D;20190604;000000;7056.18;7169.79;7023.09;7167.75;0;0
NASDAQ 100;D;20190605;000000;7166.75;7234.37;7146.43;7220.9;0;0
NASDAQ 100;D;20190606;000000;7229.86;7292.56;7201.59;7274.72;0;0
NASDAQ 100;D;20190607;000000;7275.93;7445.99;7275.93;7416.55;0;0
NASDAQ 100;D;20190608;000000;7417.29;7417.29;7417.29;7417.29;0;0
NASDAQ 100;D;20190609;000000;7417.29;7417.29;7417.29;7417.29;0;0
NASDAQ 100;D;20190610;000000;7472.54;7573;7468.17;7502.38;0;0
NASDAQ 100;D;20190611;000000;7501.93;7595.57;7489.99;7514.3;0;0
NASDAQ 100;D;20190612;000000;7513.85;7513.85;7459.2;7472.51;0;0
NASDAQ 100;D;20190613;000000;7472.29;7530.91;7472.29;7515.04;0;0
NASDAQ 100;D;20190614;000000;7510.68;7510.68;7455.77;7479.97;0;0
NASDAQ 100;D;20190615;000000;7479.11;7479.11;7479.11;7479.11;0;0
NASDAQ 100;D;20190616;000000;7479.11;7479.11;7479.11;7479.11;0;0
NASDAQ 100;D;20190617;000000;7500.21;7546.99;7492.29;7524.22;0;0
NASDAQ 100;D;20190618;000000;7526.52;7688.96;7526.52;7635.96;0;0
NASDAQ 100;D;20190619;000000;7635.4;7681.56;7608.67;7668.11;0;0
NASDAQ 100;D;20190620;000000;7667.74;7770.61;7667.74;7741.45;0;0
NASDAQ 100;D;20190621;000000;7738.05;7771.99;7708.25;7728.25;0;0
NASDAQ 100;D;20190622;000000;7728.78;7728.78;7728.78;7728.78;0;0
NASDAQ 100;D;20190623;000000;7728.78;7728.78;7728.78;7728.78;0;0
NASDAQ 100;D;20190624;000000;7737.48;7746.33;7720.78;7722.37;0;0
NASDAQ 100;D;20190625;000000;7723.02;7723.04;7584.17;7591.54;0;0
NASDAQ 100;D;20190626;000000;7642.92;7688.27;7616.91;7626.66;0;0
NASDAQ 100;D;20190627;000000;7627.05;7672.98;7627.05;7657.05;0;0
NASDAQ 100;D;20190628;000000;7679.02;7682.23;7639.44;7671.03;0;0
NASDAQ 100;D;20190629;000000;7671.07;7671.07;7671.07;7671.07;0;0
NASDAQ 100;D;20190630;000000;7671.07;7671.07;7671.07;7671.07;0;0
NASDAQ 100;D;20190701;000000;7813.55;7820.69;7735.67;7764.95;0;0
NASDAQ 100;D;20190702;000000;7768.14;7800.47;7746.01;7800.47;0;0
NASDAQ 100;D;20190703;000000;7799.82;7856.87;7799.82;7856.22;0;0
NASDAQ 100;D;20190704;000000;7857.69;7857.69;7857.69;7857.69;0;0
NASDAQ 100;D;20190705;000000;7806.36;7854.71;7774.59;7842.76;0;0
NASDAQ 100;D;20190706;000000;7841.3;7841.3;7841.3;7841.3;0;0
NASDAQ 100;D;20190707;000000;7841.3;7841.3;7841.3;7841.3;0;0
NASDAQ 100;D;20190708;000000;7790.46;7792.2;7756.11;7786.25;0;0
NASDAQ 100;D;20190709;000000;7785.79;7833.92;7748.23;7828.09;0;0
NASDAQ 100;D;20190710;000000;7826.86;7923.93;7826.86;7902.57;0;0
NASDAQ 100;D;20190711;000000;7903.4;7934.6;7873.16;7896.45;0;0
NASDAQ 100;D;20190712;000000;7896.78;7943.59;7896.78;7943.48;0;0
NASDAQ 100;D;20190713;000000;7943.24;7943.24;7943.24;7943.24;0;0
NASDAQ 100;D;20190714;000000;7943.24;7943.24;7943.24;7943.24;0;0
NASDAQ 100;D;20190715;000000;7959.47;7969.79;7940.45;7964.48;0;0
NASDAQ 100;D;20190716;000000;7966.93;7966.93;7904.95;7926.55;0;0
NASDAQ 100;D;20190717;000000;7927.08;7941.1;7887.98;7887.98;0;0
NASDAQ 100;D;20190718;000000;7888.76;7912.28;7827.49;7903.83;0;0
NASDAQ 100;D;20190719;000000;7904.13;7949.73;7834.64;7834.64;0;0
NASDAQ 100;D;20190720;000000;7834.9;7834.9;7834.9;7834.9;0;0
NASDAQ 100;D;20190721;000000;7834.9;7834.9;7834.9;7834.9;0;0
NASDAQ 100;D;20190722;000000;7862.38;7918.47;7862.32;7905.09;0;0
NASDAQ 100;D;20190723;000000;7905.12;7954.56;7895.76;7954.56;0;0
NASDAQ 100;D;20190724;000000;7930.86;8010.01;7926.99;8009.51;0;0
NASDAQ 100;D;20190725;000000;8010.6;8010.6;7921.21;7929.21;0;0
NASDAQ 100;D;20190726;000000;7929.87;8027.18;7929.87;8017.56;0;0
NASDAQ 100;D;20190727;000000;8016.95;8016.95;8016.95;8016.95;0;0
NASDAQ 100;D;20190728;000000;8016.95;8016.95;8016.95;8016.95;0;0
NASDAQ 100;D;20190729;000000;8010.05;8010.05;7939.98;7989.08;0;0
NASDAQ 100;D;20190730;000000;7928.01;7983.11;7923.49;7953.81;0;0
NASDAQ 100;D;20190731;000000;7952.47;7978.99;7775.25;7859.46;0;0
NASDAQ 100;D;20190801;000000;7848.78;8000.88;7769.4;7803.18;0;0
NASDAQ 100;D;20190802;000000;7801.15;7801.15;7645.18;7693.38;0;0
NASDAQ 100;D;20190803;000000;7692.8;7692.8;7692.8;7692.8;0;0
NASDAQ 100;D;20190804;000000;7692.8;7692.8;7692.8;7692.8;0;0
NASDAQ 100;D;20190805;000000;7510.02;7528.5;7356.27;7415.69;0;0
NASDAQ 100;D;20190806;000000;7489.91;7541.73;7432.31;7517.54;0;0
NASDAQ 100;D;20190807;000000;7521.32;7569.9;7388.08;7551.9;0;0
NASDAQ 100;D;20190808;000000;7603.67;7722.82;7577.22;7722.55;0;0
NASDAQ 100;D;20190809;000000;7724.83;7724.83;7591.42;7648.13;0;0
NASDAQ 100;D;20190810;000000;7646.27;7646.27;7646.27;7646.27;0;0
NASDAQ 100;D;20190811;000000;7646.27;7646.27;7646.27;7646.27;0;0
NASDAQ 100;D;20190812;000000;7595.68;7623.4;7528.95;7561.68;0;0
NASDAQ 100;D;20190813;000000;7554.11;7777.6;7553.58;7727.04;0;0
NASDAQ 100;D;20190814;000000;7728.15;7728.15;7480.78;7494.93;0;0
NASDAQ 100;D;20190815;000000;7490.13;7522.62;7429.53;7484.89;0;0
NASDAQ 100;D;20190816;000000;7548.9;7622.65;7548.9;7602.55;0;0
NASDAQ 100;D;20190817;000000;7604.11;7604.11;7604.11;7604.11;0;0
NASDAQ 100;D;20190818;000000;7604.11;7604.11;7604.11;7604.11;0;0
NASDAQ 100;D;20190819;000000;7715.45;7740.74;7688.09;7719.32;0;0
NASDAQ 100;D;20190820;000000;7708.31;7731.31;7664.21;7664.21;0;0
NASDAQ 100;D;20190821;000000;7664.47;7754.66;7664.47;7730.05;0;0
NASDAQ 100;D;20190822;000000;7733.22;7764.79;7649.41;7707.43;0;0
NASDAQ 100;D;20190823;000000;7661.08;7722.4;7443.51;7466.84;0;0
NASDAQ 100;D;20190824;000000;7464.99;7464.99;7464.99;7464.99;0;0
NASDAQ 100;D;20190825;000000;7464.99;7464.99;7464.99;7464.99;0;0
NASDAQ 100;D;20190826;000000;7540.83;7573.9;7506.17;7570.3;0;0
NASDAQ 100;D;20190827;000000;7575.02;7640.43;7532.68;7565.8;0;0
NASDAQ 100;D;20190828;000000;7566.03;7598.12;7501.7;7586.02;0;0
NASDAQ 100;D;20190829;000000;7587.9;7723.94;7587.9;7698.09;0;0
NASDAQ 100;D;20190830;000000;7702.31;7747.08;7642.92;7690.65;0;0
NASDAQ 100;D;20190831;000000;7691;7691;7691;7691;0;0
NASDAQ 100;D;20190901;000000;7691;7691;7691;7691;0;0
NASDAQ 100;D;20190902;000000;7691;7691;7691;7691;0;0
NASDAQ 100;D;20190903;000000;7633.57;7670.17;7584.82;7609.34;0;0
NASDAQ 100;D;20190904;000000;7609.51;7724.91;7609.51;7718.75;0;0
NASDAQ 100;D;20190905;000000;7719.25;7879.93;7719.25;7860.95;0;0
NASDAQ 100;D;20190906;000000;7862.54;7874.99;7836.36;7853.05;0;0
NASDAQ 100;D;20190907;000000;7852.54;7852.54;7852.54;7852.54;0;0
NASDAQ 100;D;20190908;000000;7852.54;7852.54;7852.54;7852.54;0;0
NASDAQ 100;D;20190909;000000;7876.92;7877.22;7795.86;7835.8;0;0
NASDAQ 100;D;20190910;000000;7832.4;7832.4;7743.76;7810.67;0;0
NASDAQ 100;D;20190911;000000;7814.74;7887.77;7812.56;7887.58;0;0
NASDAQ 100;D;20190912;000000;7931.44;7975.28;7907.33;7917.42;0;0
NASDAQ 100;D;20190913;000000;7917.34;7923.36;7879.59;7889.69;0;0
NASDAQ 100;D;20190914;000000;7892.95;7892.95;7892.95;7892.95;0;0
NASDAQ 100;D;20190915;000000;7892.95;7892.95;7892.95;7892.95;0;0
NASDAQ 100;D;20190916;000000;7834.02;7868.74;7831.93;7853.1;0;0
NASDAQ 100;D;20190917;000000;7852.41;7891.21;7841.79;7889.01;0;0
NASDAQ 100;D;20190918;000000;7888.79;7891.17;7791.58;7888.56;0;0
NASDAQ 100;D;20190919;000000;7904.97;7950.21;7889.7;7898.73;0;0
NASDAQ 100;D;20190920;000000;7901.79;7920.53;7794.63;7821.73;0;0
NASDAQ 100;D;20190921;000000;7823.55;7823.55;7823.55;7823.55;0;0
NASDAQ 100;D;20190922;000000;7823.55;7823.55;7823.55;7823.55;0;0
NASDAQ 100;D;20190923;000000;7817.93;7842.98;7790.46;7818.61;0;0
NASDAQ 100;D;20190924;000000;7855.93;7873.19;7684.8;7704.92;0;0
NASDAQ 100;D;20190925;000000;7710.04;7820.75;7649.02;7806.13;0;0
NASDAQ 100;D;20190926;000000;7803.54;7803.54;7718.73;7774.18;0;0
NASDAQ 100;D;20190927;000000;7771.99;7790.66;7626.82;7682.6;0;0
NASDAQ 100;D;20190928;000000;7681.58;7681.58;7681.58;7681.58;0;0
