"date","max(difficulty)"
"2016-10-20",103438111999500
"2016-10-21",104771948351644
"2016-10-22",106210952217647
"2016-10-23",104441747364304
"2016-10-24",105873330612826
"2016-10-25",106937841485284
"2016-10-26",108263907441388
"2016-10-27",106682594149798
"2016-10-28",104736404858996
"2016-10-29",99372381156712
"2016-10-30",79736038415786
"2016-10-31",83834878286383
"2016-11-01",80031856915308
"2016-11-02",68337577242150
"2016-11-03",65201534618127
"2016-11-04",60682505144294
"2016-11-05",54999713378817
"2016-11-06",54198201388315
"2016-11-07",64939336145746
"2016-11-08",71889258213387
"2016-11-09",72797369321595
"2016-11-10",64902609525365
"2016-11-11",62070397451092
"2016-11-12",63911498864552
"2016-11-13",69097910460832
"2016-11-14",70025867908917
"2016-11-15",71307898984364
"2016-11-16",69896685705317
"2016-11-17",71780795662672
"2016-11-18",71247768662776
"2016-11-19",76040514787512
"2016-11-20",84343552560530
"2016-11-21",87102150637112
"2016-11-22",85957698311927
"2016-11-23",79810090424306
"2016-11-24",73829204859687
"2016-11-25",69649070716534
"2016-11-26",72614390700786
"2016-11-27",67401392854507
"2016-11-28",70832478879367
"2016-11-29",71712905859918
"2016-11-30",71759150627688
"2016-12-01",72457922526794
"2016-12-02",74153179667408
"2016-12-03",79263439010229
"2016-12-04",78657731690580
"2016-12-05",76564289500236
"2016-12-06",74315604904862
"2016-12-07",76321091564551
"2016-12-08",79530138130480
"2016-12-09",81435909658901
"2016-12-10",82881749343116
"2016-12-11",85726085199981
"2016-12-12",83729332710765
"2016-12-13",84636041061320
"2016-12-14",85120264190146
"2016-12-15",84416934787030
"2016-12-16",87762387371797
"2016-12-17",89452283614855
"2016-12-18",90888512364359
"2016-12-19",91097112646759
"2016-12-20",93570584266219
"2016-12-21",92445455140152
"2016-12-22",91639639625239
"2016-12-23",87023337013915
"2016-12-24",78686078455786
"2016-12-25",82597618235407
"2016-12-26",84688249495666
"2016-12-27",83242270258440
"2016-12-28",82241297648581
"2016-12-29",80288840207023
"2016-12-30",82195417767762
"2016-12-31",83664353379712
"2017-01-01",82689399562858
"2017-01-02",84241181964418
"2017-01-03",83283031850267
"2017-01-04",92857403120968
"2017-01-05",92775436648504
"2017-01-06",95282754957115
"2017-01-07",97031374246463
"2017-01-08",99030478594669
"2017-01-09",100275114836654
"2017-01-10",100985621101143
"2017-01-11",102580443089223
"2017-01-12",102954882556735
"2017-01-13",104814446350896
"2017-01-14",106587004660379
"2017-01-15",108605115607433
"2017-01-16",106504181425163
"2017-01-17",107321035758063
"2017-01-18",105271264738870
"2017-01-19",112425417482807
"2017-01-20",112088648619664
"2017-01-21",112383387169746
"2017-01-22",111142883193270
"2017-01-23",113874034151385
"2017-01-24",113631084604725
"2017-01-25",113021251345548
"2017-01-26",114029967695806
"2017-01-27",116812616787942
"2017-01-28",114745356164821
"2017-01-29",115720288837315
"2017-01-30",114479071787530
"2017-01-31",115910144570491
"2017-02-01",114958237851285
"2017-02-02",116810061722144
"2017-02-03",115703568233650
"2017-02-04",115719213596739
"2017-02-05",122122601124996
"2017-02-06",124148950397861
"2017-02-07",122825629842703
"2017-02-08",124551600645076
"2017-02-09",124924801560947
"2017-02-10",127871952112927
"2017-02-11",128497472365165
"2017-02-12",129653255855095
"2017-02-13",131832370695362
"2017-02-14",133182009262312
"2017-02-15",136054545246028
"2017-02-16",135622738979365
"2017-02-17",136489930428348
"2017-02-18",139233194177167
"2017-02-19",140688917424531
"2017-02-20",140097807975040
"2017-02-21",145400064458736
"2017-02-22",144365521592557
"2017-02-23",145315181125254
"2017-02-24",146136256313813
"2017-02-25",149327807208652
"2017-02-26",154162370038765
"2017-02-27",154178530964642
"2017-02-28",160568962971536
"2017-03-01",161349638812970
"2017-03-02",159340439332228
"2017-03-03",165012898995993
"2017-03-04",163110064264421
"2017-03-05",167684240211453
"2017-03-06",171849051830950
"2017-03-07",171992544478274
"2017-03-08",178677745521259
"2017-03-09",178982807018156
"2017-03-10",176717041407264
"2017-03-11",183369340071355
"2017-03-12",183517102076197
"2017-03-13",185620624283836
"2017-03-14",184887336357438
"2017-03-15",191026805079542
"2017-03-16",189265402104013
"2017-03-17",199230704771501
"2017-03-18",204033371615038
"2017-03-19",198103708475038
"2017-03-20",207081411835147
"2017-03-21",208543494881935
"2017-03-22",210443480408231
"2017-03-23",215273774762599
"2017-03-24",216704524511089
"2017-03-25",220513126008217
"2017-03-26",231205656586068
"2017-03-27",237842236794373
"2017-03-28",235811637881690
"2017-03-29",240075472873350
"2017-03-30",244139296355539
"2017-03-31",252618226718644
"2017-04-01",250176091416022
"2017-04-02",248295993340040
"2017-04-03",247079830797824
"2017-04-04",248305378705911
"2017-04-05",253600315591579
"2017-04-06",255026975834373
"2017-04-07",255909967566926
"2017-04-08",259272977570843
"2017-04-09",264693436817744
"2017-04-10",262572496941117
"2017-04-11",269125065577251
"2017-04-12",267152566301080
"2017-04-13",261871654952130
"2017-04-14",286835729027442
"2017-04-15",287242558199336
"2017-04-16",279564352687039
