<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S&P 500,D,20130227,000000,1496.12,1517.86,1494.32,1517.86,0,0
S&P 500,D,20130228,000000,1517.84,1525.34,1514.74,1522.12,0,0
S&P 500,D,20130301,000000,1521.97,1521.97,1501.48,1517.47,0,0
S&P 500,D,20130302,000000,1517.51,1518.82,1515.66,1518.2,0,0
S&P 500,D,20130303,000000,1518.2,1518.2,1518.2,1518.2,0,0
S&P 500,D,20130304,000000,1518.2,1524.52,1512.3,1523.98,0,0
S&P 500,D,20130305,000000,1523.96,1543.47,1522.18,1540.07,0,0
S&P 500,D,20130306,000000,1540.06,1545.25,1537.79,1543.95,0,0
S&P 500,D,20130307,000000,1543.97,1545.73,1539.9,1544.08,0,0
S&P 500,D,20130308,000000,1544.27,1551.65,1542.94,1549.51,0,0
S&P 500,D,20130309,000000,1549.8,1552.48,1549.8,1551.18,0,0
S&P 500,D,20130310,000000,1551.18,1551.18,1551.18,1551.18,0,0
S&P 500,D,20130311,000000,1551.15,1556.27,1547.36,1556.1,0,0
S&P 500,D,20130312,000000,1556.12,1556.76,1548.24,1552.67,0,0
S&P 500,D,20130313,000000,1552.44,1556.39,1548.25,1554.29,0,0
S&P 500,D,20130314,000000,1554.43,1563.32,1554.43,1562.77,0,0
S&P 500,D,20130315,000000,1562.95,1563.62,1555.74,1560.67,0,0
S&P 500,D,20130316,000000,1560.57,1560.76,1560.57,1560.7,0,0
S&P 500,D,20130317,000000,1560.7,1560.7,1560.7,1560.7,0,0
S&P 500,D,20130318,000000,1560.7,1560.7,1545.13,1552.28,0,0
S&P 500,D,20130319,000000,1552.15,1557.25,1538.58,1548.42,0,0
S&P 500,D,20130320,000000,1548.53,1561.56,1548.34,1558.86,0,0
S&P 500,D,20130321,000000,1559.26,1559.26,1543.55,1546.01,0,0
S&P 500,D,20130322,000000,1545.81,1557.74,1545.8,1556.3,0,0
S&P 500,D,20130323,000000,1556.96,1556.96,1556.89,1556.89,0,0
S&P 500,D,20130324,000000,1556.89,1556.89,1556.89,1556.89,0,0
S&P 500,D,20130325,000000,1559.41,1564.86,1546.22,1552.45,0,0
S&P 500,D,20130326,000000,1551.92,1563.95,1551.69,1563.83,0,0
S&P 500,D,20130327,000000,1563.79,1564.07,1551.9,1563.11,0,0
S&P 500,D,20130328,000000,1562.96,1570.28,1561.1,1569.24,0,0
S&P 500,D,20130329,000000,1569.39,1569.39,1568.7,1569.19,0,0
S&P 500,D,20130330,000000,1569.19,1569.19,1569.19,1569.19,0,0
S&P 500,D,20130331,000000,1569.19,1569.19,1569.19,1569.19,0,0
S&P 500,D,20130401,000000,1569.18,1570.57,1558.47,1562.1,0,0
S&P 500,D,20130402,000000,1562.05,1573.64,1562.05,1570.03,0,0
S&P 500,D,20130403,000000,1569.98,1571.44,1549.8,1553.68,0,0
S&P 500,D,20130404,000000,1553.71,1562.6,1552.52,1559.92,0,0
S&P 500,D,20130405,000000,1560,1560.02,1539.5,1553.02,0,0
S&P 500,D,20130406,000000,1553.17,1553.28,1553.17,1553.28,0,0
S&P 500,D,20130407,000000,1553.28,1553.28,1553.28,1553.28,0,0
S&P 500,D,20130408,000000,1553.09,1562.79,1548.63,1562.79,0,0
